Player,Score
"Starling, J.J.",764
"Freeman, Donnie",230
"Lampkin Jr., Eddie",617
"Davis, Jyáre",503
"Bell, Chris",489
"Carlos, Jaquan",332
"Taylor, Lucas",352
"Moore, Elijah",176
"Cuffe Jr., Kyle",266
"Majstorovic, Petar",132
"McLeod, Naheem",80
"Clayton, Anthony",4
"Fleisher, Nate",0
"Gatty, Chris",0
"Lobdell, Noah",0
"Westry, Chance",0
